THEME,QUESTION,PERGUNTA,QUESTION,COUNT,AUTRE FORMULATION,TEMA,XMind
Penser,Peut-on dire que le langage entrave la pensée ?,Podemos dizer que a linguagem deixa o pensamento preso?,,,,Pensamento (o),
Penser,Suis-je le sujet de mes pensées ?,Sou eu o sujeito de meus pensamentos?,,,,Pensamento (o),
Penser,Quelle éthique pour des machines qui pensent à notre place ?,Qual ética para máquinas que pensam em nosso lugar ?,What ethics for machines that think by themselves ?,1,,Pensamento (o),
Penser,"Que peut-on trouver ""Quelque part dans l'inachevé"", indépendamment de la réflexion menée sur le thème par Vladimir Jankelevitch ?","O que podemos encontrar ""Em algum lugar do inacabado"", independentemente da reflexão conduzida pelo Vladimir Jankelevitch no tema ?",,0,,Pensamento (o),
Philosophie,Le bonheur est-il le but de la philosophie ?,A felicida é o objetivo da filosofia?,Is happiness the goal of philosophy?,,La philosophie peut-elle enseigner la joie de vivre?,Filosofia (a),
Philosophie,Le philosophe doit-il gouverner ?,O filósofo deve governar ?,Should the philosopher govern ?,1,,Filosofia (a),
Philosophie,La philosophie peut-elle parler de la religion ? ,A filosofía pode falar de religião ?,Can philosophy talk about religion ?,1,,Filosofia (a),
Politique,La politique doit-elle faire le bonheur des citoyens ? ,A politica deve fazer a felicidade dos citadões?,,,,Politica (a),
Politique,L'action politique doit-elle être guidée par la connaissance de l'histoire ?,A ação politica deve guiar-se no conhecimento da historia?,,,,Politica (a),
Politique,L'homme est-il un animal politique ?,O homen é um animal político ?,Is man a political animal ?,1,,Politica (a),
Politique,Qui est autorisé à me dire tu dois ?,Quem pode mandar em mim ?,"Who is allowed to tell me ""You must"" ?",1,,Politica (a),
Politique,"La politique échappe-t-elle à l'exigence de vérité ?
",A politica escapa da exigência de verdade?,,1,,Viver juntos,
Reel,La perception peut-elle s'éduquer ?,A percepção pode ser aprendida ?,Can perception be learned ?,1,,Realidade (a),1
Reel,Que sait-on du réel ?,O que sabemos da realidade ?,What can we know about reality ?,0,,Realidade (a),
Reel,Les apparences sont-elles trompeuses ?  ,As aparências enganam ?,Are appearances deceptive ?,0,,Realidade (a),
Reel,Peut-on se fier à l'intuition ?,Podemos confiar na intuição ?,Can one rely on intuition ?,1,,Realidade (a),
Reel,Peut-on percevoir sans juger ?,Podemos perceber sem julgar ?,Can we percieve without judging ?,0,,Realidade (a),
Reel,Ne fait-on que fuir le réel ?,O que fazemos é so fugir da realidade ?,Do we systematically run away from reality ?,0,,Realidade (a),
Reel,Peut-on distinguer le rêve de la réalité ?,Pode-se distinguir o sonho da realidade ?,Can we distinguish dream from reality ?,1,,Realidade (a),
Reel,"Quelle serait la ligne d'écriture d'une version moderne de ""De la nature des choses"", plus de 20 siècles après celle de Lucrèce ?","Qual seria a linha de uma versão moderna de ""Da natureza das coisas"", mais de 20 séculos depois da do Lucrecia ?",,0,,Realidade (a),
Religion,L’homme a-t-il nécessairement besoin de religion ? ,O homem necessariamente precisa da religião ?,Does mankind necessarily need religion ?,1,,Religião (a),
Religion,La philosophie peut-elle parler de la religion ? ,A filosofia pode falar da religião?,,,,Religião (a),
Religion,Toute croyance est-elle contraire à la raison ?,Toda a crença é contraria à razão ?,Are all beliefs contrary to reason ?,1,,Religião (a),
Religion,En quoi le sentiment esthétique se distingue-t-il du sentiment religieux ? ,De qual forma o sentimento estetico diferencia-se do sentimento religioso?,,,,Religião (a),
Religion,La religion n’est-elle qu’un fait de culture ?,A religião somente é oriunda da cultura ?,Is religion just a product of culture ?,1,,Religião (a),
Science,Une connaissance scientifique du vivant est-elle possible ?,O conhecimento científico da vida é possível ?,Is scientific knowledge of life possible ?,1,,Ciência (a),
Science,Y a-t-il des questions auxquelles aucune science ne répond ?,Há perguntas às quais nenhuma ciência pode responder ?,Are there questions that no science can answer ?,1,,Ciência (a),
Science,L’expérience peut-elle démontrer quelque chose ? ,A experiência pode demonstrar alguma coisa ?,Can experience prove something ?,1,,Ciência (a),
Science,Peut-on croire sans savoir ? ,Podemos crer sem saber ?,Can we believe without knowing ?,1,,Ciência (a),
Science,"Commentez cette pensée de Nietzsche: « Ce n'est pas le doute, c'est la certitude qui rend fou. » ?","Comente este pensamento de Nietzsche: ""O que nos deixa louco, não é ter dúvida, mas é ter certeza.""","Comment on this thought of Nietzsche: ""It is not doubt, but certainty that drives us mad.""?",1,,Ciência (a),
Science,Les principes de la raison sont-ils issus de l'expérience ? ,Os princípios da razão provêm da experiência ?,Are the principles of reason a product of experience ?,0,Faut-il démontrer pour savoir ?,Ciência (a),
Science,L'art est-il moins nécessaire que la science ?,A arte é menos necessaria do que a Ciência?,,,,Ciência (a),
Sens,Qu'est-ce qui a du sens ?,O que faz sentido ?,What has meaning ?,1,,Sentido (o),
Sens,Une oeuvre d'art a-t-elle toujours un sens ?,Uma obra de arte sempre tem um sentido?,,,"L'art, est-ce ce qui ne sert à rien ?",Sentido (o),
Technique,Y a-t-il plus à espérer qu'à craindre de la technique ?,Temos mais a esperar ou a temer da tecnologia ?,"Is there more to hope than to fear from technology ?
",1,Le bonheur de l'humanité pourrait-il venir du progrès technique ?,Tecnologia (a),
Technique,"Respecter la nature, est-ce renoncer à la transformer ?",Para respeitar a natureza precisa renunciar a transformá-la ?,To respect nature is to renounce transforming it ?,1,,Tecnologia (a),
Technique,Le développement technique transforme-t-il les hommes ?,O desenvolvimento técnico transforma os homens ?,Does technological development transform mankind ?,1,La technique ne sert-elle qu'à nous rendre maîtres de la nature ?,Tecnologia (a),
Technique,Serions-nous plus libres sans machines ?,Seríamos mais livres sem máquinas ?,Would we be freer without machines ?,1,,Tecnologia (a),
Technique,L'homme est-il chez lui dans la nature ? ,O homem está em casa na natureza ?,Is mankind at home in nature ?,1,,Tecnologia (a),
Technique,Les machines peuvent-elles penser ?,Uma maquina pode pensar?,,1,,Tecnologia (a),
Temps,Le temps libre est-il le temps de ma liberté ?,O tempo livre é o tempo de nossa liberdade ?,Is free time the time of my freedom ?,1,,Tempo (o),
Temps,Le temps détruit tout ?,O tempo destrói tudo ?,Does time destroy everything ?,0,Tout s'en va-t-il avec le temps ?,Tempo (o),
Temps,Ne peut-on être heureux qu'au passé ?,Somente podemos ser felizes a partir de acontecimentos ocorridos?,Can we only be happy in the past tense?,,,Tempo (o),
Temps,Cela a-t-il un sens de vouloir échapper au temps ?,Faz sentido querer escapar do tempo ?,Does it make sens to try escaping from time ?,1,Faut-il se désoler de vivre dans le temps ?,Tempo (o),
Temps,Le futur n'existe-t-il que dans notre pensée ?,O futuro somente existe em nossa mente ?,Does the future only exist in our mind ?,1,,Tempo (o),
